Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Sub_Category,Ship_Mode,Quantity,Discount,Sales,Profit,Campaign_Group,Converted
ORD-00527,2025-05-15,CUST-0467,Consumer,South,Office Supplies,Paper,Second Class,4,0.2,122.2,17.96,Treatment,1
ORD-03075,2024-12-19,CUST-0156,Consumer,North,Technology,Machines,Second Class,2,0%,$697.12,262.6,Treatment,1
ORD-03686,2025-02-04,CUST-0344,Corporate,East,Office Supplies,Paper,SECOND CLASS,3,10%,136.31,32.34,Treatment,0
ORD-01764,2025-01-29,CUST-0176,Consumer,WEST,Office Supplies,Binders,Standard Class,5,10%,222.17,42.6,Control,1
ORD-01994,2024-11-01,CUST-0158,Corporate,South,Technology,Phones,Standard Class,3,0.0,1146.87,393.29,Control,0
ORD-01105,2024-01-23,CUST-0115,Home Office,,Furnitur,Tables,  Standard Class  ,7,0.0,1609.78,507.02,Treatment,0
ORD-00972,2025-02-13,CUST-0595,Consumer,South,Furnitur,Chairs,Same Day,7,0.4,"$1,304.66",-217.09,Control,0
ORD-03124,2024-02-10,CUST-0283,Corporate,South,Technology,Accessories,Standard Class,5,0.4,1320.15,-52.41,Control,0
ORD-01991,2024-09-07,CUST-0523,Home Office,,Technology,Phones,Standard Class,5,0%,"$1,643.19",665.3,Treatment,0
ORD-00232,02/05/2024,CUST-0389,,North,Furnitur,Bookcases,Same Day,6,0.2,1497.33,299.02,Control,0
ORD-02317,2025-12-02,CUST-0270,Consumer,West,Office Supplies,Binders,  Standard Class  ,2,,47.82,5.64,Control,0
ORD-01008,2024-08-23,CUST-0195,Consumer,West,Office Supplies,Paper,Standard Class,3,0.2,86.48,9.7,Treatment,0
ORD-03069,2025-10-07,CUST-0447,Home Office,North,Technology,Accessories,Same Day,6,0.5,1239.05,-213.35,Treatment,0
ORD-03243,2024-11-28,CUST-0517,Consumer,West,Furnitur,Tables,Same Day,3,0.3,459.05,34.06,Control,0
ORD-00749,2025-12-14,CUST-0078,Corporate,west,Furnitur,Chairs,Standard Class,5,0.3,764.47,46.49,Treatment,1
ORD-02239,2024-03-10,CUST-0068,Corporate,  West  ,Technology,Accessories,Second Class,4,0.5,623.91,-62.83,Control,0
ORD-00916,2025-04-14,CUST-0310,Consumer,East,Technology,Machines,Standard Class,3,0.4,612.35,-10.92,Control,1
ORD-01645,2024-08-10,CUST-0339,Corporate,East,Office Supplies,Binders,,4,0.0,139.61,52.08,Control,0
ORD-01548,2024-05-24,CUST-0205,Consumer,North,Technology,Machines,Standard Class,6,0.0,"$2,403.96",770.86,Control,0
ORD-02631,2025-11-13,CUST-0045,Corporate,South,Office Supplies,Paper,Standard Class,7,20%,206.72,26.11,Treatment,1
ORD-01692,2025-07-23,CUST-0424,Consumer,East,Furnitur,Bookcases,Standard Class,7,0.1,1633.61,307.15,Control,0
ORD-00224,2025-12-30,CUST-0486,Corporate,West,Technology,Accessories,Standard Class,6,40%,1173.51,-99.51,Treatment,0
ORD-00842,2024-08-20,CUST-0806,Corporate,East,Office Supplies,Paper,First Class,6,0.0,201.02,72.02,Treatment,0
ORD-03987,2024-06-21,CUST-0272,Consumer,  North  ,Furnitur,Tables,Standard Class,5,0.3,"$1,031.60",41.27,Treatment,0
ORD-03457,10/10/2024,CUST-0353,Consumer,West,Furnitur,Tables,Standard Class,6,0.2,1511.96,114.31,Control,0
ORD-01233,2024-08-26,CUST-0383,Consumer,East,Office Supplies,Storage,Second Class,6,,260.09,67.26,Control,0
ORD-00570,18/01/2025,CUST-0040,Corporate,East,Furnitur,Tables,First Class,1,50%,151.28,-32.54,Control,0
ORD-00599,2024-01-09,CUST-0476,Consumer,South,Furnitur,Bookcases,Second Class,2,0.0,588.25,243.26,Treatment,0
ORD-03971,2025-09-04,CUST-0471,Corporate,North,Office Supplies,Binders,Same Day,2,0.0,69.35,19.48,Treatment,1
ORD-02500,15/12/2025,CUST-0503,Home Office,South,Technology,Accessories,Standard Class,6,0.0,1941.55,434.44,Control,0
ORD-03621,2024-07-01,CUST-0679,Corporate,West,Technology,Phones,Standard Class,2,0.0,569.69,138.24,Treatment,1
ORD-00381,2024-06-24,CUST-0126,Consumer,South,Office Supplies,Storage,Second Class,2,0.4,47.59,-3.01,Control,0
ORD-02004,2024-05-30,CUST-0552,Home Office,North,Office Supplies,Binders,Same Day,2,30%,55.01,2.17,Control,1
ORD-02035,2024-10-13,CUST-0271,Consumer,West,Furnitur,Chairs,Second Class,7,0.4,"$1,227.72",-14.8,Control,0
ORD-02764,14/05/2025,CUST-0132,Corporate,West,Office Supplies,Binders,Standard Class,5,0.0,221.67,77.42,Control,0
ORD-02594,2024-08-09,CUST-0700,Home Office,East,Furnitur,Chairs,Standard Class,2,0.2,442.36,27.56,Control,0
ORD-03927,26/11/2025,CUST-0395,Consumer,North,Office Supplies,Paper,Standard Class,4,0.3,139.65,-10.28,Treatment,1
ORD-00602,2024-09-09,CUST-0490,Corporate,East,Office Supplies,Paper,Standard Class,5,0.2,203.13,16.33,Control,0
ORD-02498,2024-08-19,CUST-0128,Corporate,WEST,Technology,Machines,Standard Class,4,0.5,767.67,-96.46,Treatment,0
ORD-02561,2025-01-12,CUST-0230,Consumer,East,Technology,Accessories,Second Class,6,0.2,"$1,465.80",263.41,Control,1
ORD-02974,16/01/2024,CUST-0861,Corporate,East,Furnitur,Bookcases,STANDARD CLASS,1,0.0,$214.63,78.22,Control,1
ORD-01918,13/11/2024,CUST-0308,Consumer,East,Technology,Accessories,Standard Class,1,0.2,235.02,7.55,Treatment,0
ORD-02619,2024-07-31,CUST-0583,Consumer,East,Technology,Phones,Second Class,5,0.1,"$1,886.52",494.06,Control,0
ORD-01904,2025-06-13,CUST-0550,Corporate,West,Furnitur,Bookcases,Standard Class,1,0.1,$273.61,46.54,Treatment,0
ORD-01170,2024-06-25,CUST-0304,Corporate,South,Technology,Machines,Standard Class,5,0.0,1997.31,574.4,Treatment,0
ORD-01140,05/01/2025,CUST-0678,,North,Technology,Accessories,Second Class,4,0.3,800.9,20.59,Treatment,1
ORD-01618,2024-01-07,CUST-0306,,  West  ,Office Supplies,Binders,Standard Class,6,0.0,279.58,92.84,Control,0
ORD-03480,2025-08-04,CUST-0381,Corporate,East,Furnitur,Bookcases,Same Day,6,0.3,1309.43,-1.23,Treatment,0
ORD-00243,2024-07-05,CUST-0373,Corporate,East,Office Supplies,Paper,Second Class,5,0.1,170.34,26.47,Control,1
ORD-03631,2025-10-21,CUST-0245,Consumer,East,Technology,Phones,Standard Class,4,0.0,1639.85,454.18,Control,1
ORD-00379,2025-01-27,CUST-0052,Home Office,West,Furnitur,Bookcases,Standard Class,1,0.3,211.47,4.65,Treatment,1
ORD-03262,2025-03-28,CUST-0462,Corporate,North,Technology,Machines,Second Class,5,0.2,1406.19,171.32,Control,1
ORD-02633,2025-12-01,CUST-0244,Consumer,South,Office Supplies,Storage,Standard Class,6,0.0,243.45,87.7,Control,0
ORD-01592,2025-11-28,CUST-0017,Consumer,East,Furnitur,Bookcases,First Class,2,0.5,281.31,-51.04,Control,0
ORD-02387,2024-02-12,CUST-0008,,East,Furnitur,Tables,First Class,2,0.4,332.46,-24.29,Control,0
ORD-03922,2025-11-11,CUST-0407,Consumer,North,Technology,Accessories,Second Class,2,0.5,303.27,-66.06,Control,0
ORD-03661,27/07/2024,CUST-0204,Consumer,  West  ,Furnitur,Bookcases,Standard Class,7,0.0,2041.58,656.63,Treatment,0
ORD-03519,23/04/2024,CUST-0325,Consumer,East,Technology,Machines,Standard Class,4,0.0,1388.0,434.15,Treatment,1
ORD-01616,2025-02-25,CUST-0359,Consumer,West,Technology,Machines,Standard Class,7,0.0,"$2,714.45",938.76,Control,0
ORD-03910,07/05/2025,CUST-0193,Home Office,North,Office Supplies,Binders,Second Class,7,0.0,291.68,113.95,Control,1
ORD-01249,2024-06-13,CUST-0337,Corporate,South,Technology,Phones,Standard Class,3,0.5,$668.62,-131.9,Treatment,0
ORD-00252,27/05/2024,CUST-0498,Home Office,East,Technology,Accessories,SECOND CLASS,1,0.1,343.75,80.78,Control,0
ORD-03301,2025-09-20,CUST-0084,Home Office,east,Office Supplies,Storage,Second Class,3,0.1,93.35,18.94,Control,0
ORD-01531,2024-08-13,CUST-0472,Consumer,East,Office Supplies,Paper,STANDARD CLASS,7,0.4,$136.45,-24.58,Control,0
ORD-03246,2025-07-10,CUST-0596,Corporate,west,Technology,Phones,Standard Class,6,0.4,1388.86,-105.22,Control,0
ORD-03331,09/01/2025,CUST-0854,Consumer,South,Technology,Accessories,First Class,5,0.0,1727.99,559.03,Control,1
ORD-01134,2024-12-11,CUST-0587,Corporate,North,Technology,Machines,Standard Class,1,20%,353.14,60.7,Control,0
ORD-03051,01/08/2025,CUST-0724,Consumer,East,Furnitur,Tables,First Class,3,0.3,641.08,14.92,Control,0
ORD-03682,2025-09-15,CUST-0476,Consumer,East,Technology,Accessories,Standard Class,6,0.2,1744.08,230.01,Treatment,0
ORD-02156,2024-06-20,CUST-0558,Corporate,North,Technology,Phones,Standard Class,1,0.3,266.85,4.89,Treatment,1
ORD-03540,04/01/2025,CUST-0831,Consumer,East,Furnitur,Tables,First Class,6,0.4,1069.29,-76.4,Control,0
ORD-01861,2025-08-16,CUST-0073,Corporate,North,Office Supplies,Binders,Second Class,4,,144.18,5.3,Control,0
ORD-01028,2025-02-13,CUST-0123,Consumer,east,Office Supplies,Binders,Standard Class,1,0.5,22.45,-2.29,Control,0
ORD-03849,30/03/2024,CUST-0348,Consumer,East,Office Supplies,Binders,Standard Class,1,0.3,32.21,-0.81,Control,1
ORD-03678,2024-05-20,CUST-0799,Consumer,  West  ,Technology,Accessories,Second Class,5,0.3,1489.92,95.53,Treatment,0
ORD-01631,21/12/2024,CUST-0533,Corporate,North,Office Supplies,Storage,Standard Class,4,0.0,198.74,71.12,Control,0
ORD-00992,11/10/2025,CUST-0656,Home Office,,Technology,Phones,Second Class,4,0.0,1161.31,397.5,Control,0
ORD-00505,2024-09-24,CUST-0540,Consumer,East,Office Supplies,Binders,First Class,6,0.0,232.06,80.04,Treatment,1
ORD-00617,09/10/2025,CUST-0404,Corporate,West,Technology,Accessories,Second Class,2,0%,812.58,147.64,Treatment,0
ORD-03560,2024-09-13,CUST-0641,Corporate,North,Office Supplies,Paper,Second Class,7,0.0,363.1,130.78,Control,0
ORD-00961,2025-07-27,CUST-0816,Corporate,South,Furnitur,Tables,Second Class,3,0.3,444.6,56.99,Treatment,0
ORD-02928,2025-03-11,CUST-0445,Home Office,  South  ,Furnitur,Chairs,Second Class,4,0.3,875.96,30.09,Treatment,0
ORD-00045,2024-05-10,CUST-0869,Consumer,East,Office Supplies,Binders,Second Class,5,10%,204.97,49.9,Treatment,0
ORD-02273,2024-11-06,CUST-0764,Consumer,,Technology,Accessories,Second Class,2,,$405.69,0.3,Treatment,1
ORD-02398,2025-01-16,CUST-0501,Consumer,West,Technology,Machines,First Class,3,0.1,765.4,141.91,Treatment,0
ORD-02673,21/08/2024,CUST-0095,Corporate,South,Technology,Machines,First Class,4,0.1,1437.12,239.85,Control,0
ORD-02039,2024-03-09,CUST-0220,Corporate,North,Office Supplies,Binders,Standard Class,7,0.0,247.27,69.29,Control,0
ORD-02843,2024-11-09,CUST-0458,Corporate,East,Furnitur,Bookcases,Standard Class,3,0.3,451.94,-15.31,Treatment,0
ORD-03084,2025-06-25,CUST-0772,Corporate,South,Office Supplies,Paper,First Class,1,10%,34.5,8.94,Treatment,0
ORD-02015,2024-12-23,CUST-0164,Consumer,SOUTH,Technology,Accessories,Second Class,6,0.3,1178.44,1.9,Control,0
ORD-01509,2025-01-14,CUST-0032,Corporate,West,Technology,Machines,FIRST CLASS,4,0.0,1732.21,521.2,Treatment,1
ORD-00265,2024-05-23,CUST-0697,Corporate,South,Office Supplies,Paper,Standard Class,5,0.2,185.68,30.38,Treatment,0
ORD-02193,2025-07-14,CUST-0692,Consumer,East,Furnitur,Chairs,Second Class,5,0.3,"$1,037.02",81.47,Treatment,0
ORD-02279,2024-02-24,CUST-0553,Corporate,East,Office Supplies,Paper,Standard Class,7,,$268.79,62.92,Treatment,1
ORD-00130,2025-09-04,CUST-0849,Consumer,  North  ,Technology,Accessories,Second Class,2,0%,623.18,144.72,Treatment,0
ORD-00768,02/06/2024,CUST-0444,Home Office,East,Office Supplies,Storage,First Class,7,0.0,353.09,102.14,Control,0
ORD-03341,10/02/2024,CUST-0711,Consumer,North,Technology,Machines,First Class,6,0.0,"$2,102.50",581.47,Treatment,1
ORD-01879,2025-02-07,CUST-0421,Home Office,West,Office Supplies,Storage,First Class,3,40%,77.9,-3.86,Control,1
ORD-02591,22/04/2024,CUST-0806,Corporate,west,Office Supplies,Binders,Standard Class,6,0.0,205.43,77.0,Control,0
ORD-00375,2024-06-03,CUST-0702,Corporate,,Technology,Machines,Standard Class,1,0.1,$272.86,58.72,Control,0
ORD-02080,2025-04-17,CUST-0818,Home Office,south,Office Supplies,Binders,Same Day,3,10%,131.5,14.02,Treatment,0
ORD-01992,2024-05-05,CUST-0192,Consumer,East,Furnitur,Tables,Standard Class,3,0.0,686.19,212.23,Treatment,1
ORD-00037,2025-04-20,CUST-0584,Consumer,East,Office Supplies,Paper,Same Day,3,20%,96.76,18.1,Control,0
ORD-01864,2025-07-02,CUST-0877,Corporate,West,Technology,Machines,Standard Class,6,0.5,$966.89,-75.14,Control,0
ORD-03620,2024-12-02,CUST-0746,Corporate,East,Furnitur,Tables,First Class,3,0%,903.58,341.92,Treatment,1
ORD-00325,2025-07-16,CUST-0415,Corporate,South,Office Supplies,Paper,Standard Class,3,0.0,125.45,38.83,Control,0
ORD-00287,2025-09-19,CUST-0387,Consumer,West,Office Supplies,Binders,Standard Class,4,0.5,84.07,-5.87,Treatment,0
ORD-00234,2024-10-20,CUST-0586,Consumer,north,Technology,Machines,Standard Class,7,0.2,2531.67,227.55,Treatment,0
ORD-02392,2025-04-11,CUST-0812,Corporate,East,Office Supplies,Storage,Standard Class,2,0.3,59.6,-0.03,Treatment,0
ORD-01715,2024-01-21,CUST-0289,Consumer,South,Office Supplies,Storage,STANDARD CLASS,4,0.2,118.14,7.22,Treatment,1
ORD-02393,2024-10-13,CUST-0661,Consumer,West,Technology,Machines,First Class,1,0.5,$141.32,-21.19,Control,0
ORD-03285,2025-10-16,CUST-0079,Home Office,East,Technology,Phones,Standard Class,1,0%,$445.03,178.23,Treatment,0
ORD-01054,01/08/2025,CUST-0757,Home Office,  North  ,Furnitur,Bookcases,Standard Class,1,0.4,147.12,2.43,Control,0
ORD-00279,2025-10-20,CUST-0497,Consumer,West,Technology,Machines,Standard Class,3,0%,1347.06,436.46,Treatment,0
ORD-03752,2024-02-18,CUST-0360,Corporate,West,Office Supplies,Binders,First Class,3,0.0,121.74,43.63,Treatment,0
ORD-03555,09/10/2025,CUST-0044,Consumer,North,Technology,Phones,First Class,7,0.0,3085.96,981.11,Treatment,0
ORD-02048,2024-03-29,CUST-0658,Corporate,East,Office Supplies,Storage,First Class,4,0.0,179.52,60.23,Control,0
ORD-03685,2025-02-24,CUST-0288,Home Office,South,Furnitur,Chairs,Same Day,5,0.4,600.03,-49.07,Control,1
ORD-03521,2024-01-22,CUST-0746,Consumer,South,Office Supplies,Paper,Standard Class,2,10%,67.22,14.41,Control,0
ORD-00808,22/05/2025,CUST-0827,Consumer,EAST,Technology,Accessories,  Second Class  ,3,0.1,1114.65,208.83,Treatment,0
ORD-03911,2024-08-22,CUST-0170,Home Office,West,Technology,Machines,Standard Class,3,50%,$430.01,-56.09,Treatment,0
ORD-02388,2024-09-10,CUST-0607,Consumer,South,Furnitur,Chairs,  Standard Class  ,1,0.3,224.55,5.55,Control,0
ORD-00522,2025-08-24,CUST-0246,Consumer,north,Technology,Machines,Standard Class,7,0%,"$3,055.88",712.63,Control,1
ORD-01669,2025-06-07,CUST-0074,Home Office,East,Technology,Accessories,First Class,3,0.2,929.42,74.46,Treatment,1
ORD-00613,2024-01-29,CUST-0259,Consumer,North,Technology,Accessories,Standard Class,6,0.0,2139.67,640.37,Control,0
ORD-03705,23/12/2025,CUST-0084,Corporate,South,Office Supplies,Storage,Second Class,1,0.0,46.18,19.14,Treatment,0
ORD-01805,2024-04-12,CUST-0497,Corporate,North,Technology,Phones,Standard Class,1,0.0,377.17,98.79,Control,0
ORD-03659,26/12/2025,CUST-0134,Consumer,SOUTH,Office Supplies,Binders,Standard Class,7,0.0,$344.96,88.06,Treatment,1
ORD-03284,2025-01-12,CUST-0279,Corporate,West,Technology,Accessories,SECOND CLASS,5,0.1,2040.81,644.74,Control,0
ORD-02202,16/10/2025,CUST-0808,Consumer,West,Office Supplies,Storage,Standard Class,3,,130.71,36.43,Treatment,1
ORD-03868,2024-02-18,CUST-0088,Corporate,West,Furnitur,Tables,Standard Class,1,0.4,124.7,-9.64,Control,0
ORD-02474,2025-09-15,CUST-0793,Consumer,West,Office Supplies,Binders,Standard Class,2,0%,$74.49,19.69,Treatment,1
ORD-01804,2025-10-27,CUST-0213,Home Office,East,Office Supplies,Storage,Second Class,5,0.0,210.78,63.94,Control,0
ORD-03090,2024-06-02,CUST-0021,Corporate,North,Furnitur,Chairs,Standard Class,6,0.4,994.12,-51.19,Treatment,0
ORD-00341,2024-01-17,CUST-0448,Corporate,,Office Supplies,Binders,Same Day,3,0.1,$112.03,27.75,Control,1
ORD-03785,2025-11-28,CUST-0595,Home Office,North,Technology,Phones,Second Class,2,0.3,$607.58,-13.76,Treatment,0
ORD-01643,2024-01-17,CUST-0124,Consumer,EAST,Office Supplies,Binders,Standard Class,1,20%,41.17,4.35,Control,0
ORD-02683,11/01/2025,CUST-0150,Consumer,South,Office Supplies,Binders,SECOND CLASS,5,0.3,136.85,-1.86,Control,0
ORD-01386,2024-08-16,CUST-0548,Consumer,West,Office Supplies,Binders,Same Day,6,0.0,297.78,105.08,Control,0
ORD-01057,07/07/2025,CUST-0429,Corporate,East,Furnitur,Chairs,Standard Class,5,0.3,821.7,74.04,Treatment,0
ORD-00720,29/08/2024,CUST-0439,Corporate,North,Technology,Machines,Standard Class,3,0.2,$737.48,69.84,Control,0
ORD-01943,2025-09-21,CUST-0530,Consumer,North,Technology,Phones,First Class,4,0.2,1151.2,183.39,Treatment,0
ORD-02713,2024-12-01,CUST-0094,Corporate,west,Furnitur,Bookcases,First Class,7,0.2,1770.6,159.31,Treatment,0
ORD-00322,2024-02-07,CUST-0381,Corporate,West,Technology,Machines,  Same Day  ,1,10%,377.41,95.4,Control,1
ORD-02111,2024-12-01,CUST-0221,Consumer,,Office Supplies,Storage,Same Day,6,,253.58,71.81,Control,0
ORD-03161,08/12/2024,CUST-0372,Corporate,West,Technology,Phones,Same Day,2,0.2,459.3,70.88,Control,0
ORD-00970,2025-10-06,CUST-0482,Consumer,South,Office Supplies,Binders,Standard Class,4,0.3,106.14,9.97,Treatment,1
ORD-03586,2025-01-09,CUST-0760,Corporate,SOUTH,Office Supplies,Paper,standard class,5,0.0,$240.47,81.67,Control,1
ORD-03980,2025-03-31,CUST-0519,Consumer,South,Technology,Phones,Standard Class,2,,717.87,126.24,Control,0
ORD-02864,2025-10-25,CUST-0357,Consumer,East,Furnitur,Tables,First Class,4,0.1,$812.31,171.77,Treatment,0
ORD-01050,13/04/2024,CUST-0585,Corporate,,Technology,Accessories,Standard Class,7,0.3,2223.51,99.77,Control,1
ORD-02624,2025-08-29,CUST-0254,Corporate,South,Furnitur,Chairs,Standard Class,3,0.1,$734.91,137.02,Treatment,1
ORD-03077,2025-07-03,CUST-0385,Corporate,,Office Supplies,Binders,Standard Class,4,0%,158.84,40.3,Treatment,0
ORD-03110,2024-04-29,CUST-0568,Consumer,West,Technology,Phones,Second Class,2,0.2,$489.19,30.73,Treatment,0
ORD-01222,27/03/2024,CUST-0849,Corporate,East,Technology,Machines,Standard Class,7,10%,"$1,781.68",256.76,Control,0
ORD-01695,2025-03-05,CUST-0357,Home Office,North,Technology,Machines,Standard Class,2,0.2,$706.83,62.12,Treatment,0
ORD-00486,2025-10-20,CUST-0546,Consumer,west,Technology,Accessories,First Class,7,0.0,2378.79,831.78,Treatment,0
ORD-01801,2024-08-12,CUST-0895,Consumer,West,Technology,Accessories,Standard Class,6,0.1,2148.61,252.29,Control,0
ORD-01640,2025-10-28,CUST-0104,Consumer,West,Furnitur,Tables,First Class,6,0.3,1098.75,124.09,Control,0
ORD-01053,2025-10-07,CUST-0019,Consumer,East,Office Supplies,Paper,Standard Class,3,0.2,95.55,9.96,Treatment,0
ORD-00627,2024-05-11,CUST-0301,Consumer,North,Furnitur,Chairs,standard class,2,0.0,522.02,174.78,Control,0
ORD-01000,2025-09-04,CUST-0190,Home Office,West,Furnitur,Tables,STANDARD CLASS,3,0%,$817.58,293.61,Control,0
